"","keyword","title","authors","rating","num_of_rating","num_of_reviews","text"
"11","harry potter","Harry, a History: The True Story of a Boy Wizard, His Fans, and Life Inside the Harry Potter Phenomenon","Melissa Anelli (Goodreads Author), J.K. Rowling (Introduction)",4.12,15036,709,"THE HARRY POTTER BOOKS WERE JUST THE BEGINNING OF THE STORY... During the brief span of just one decade, hundreds of millions of perfectly ordinary people made history: they became the only ones who would remember what it was like when the Harry Potter saga was still unfinished. What is was like to seek out friends, families, online forums, fan fiction, and podcasts to get  THE HARRY POTTER BOOKS WERE JUST THE BEGINNING OF THE STORY... During the brief span of just one decade, hundreds of millions of perfectly ordinary people made history: they became the only ones who would remember what it was like when the Harry Potter saga was still unfinished. What is was like to seek out friends, families, online forums, fan fiction, and podcasts to get a fix between novels. When the potential death of a character was a hotter bet than the World Series. When the unfolding story of a boy wizard changed the way books are read for all time.  And a webmistress of the Leaky Cauldron, one of the most popular Harry Potter sites on the Internet, Melissa Anelli had a front row seat to it all. Whether it was helping Scholastic stop leaks and track down counterfeiters, hosting live PotterCasts at bookstores across the country, touring with the wizard rock band Harry and the Potters, or traveling to Edinburgh to interview J.K. Rowling personally, Melissa was at the center of the Harry Potter tornado, and nothing about her life would ever be the same. The Harry Potter books are a triumph of the imagination that did far more than break sales records for all time. They restored the world's sense of wonder and took on a magical life of their own. Now the series has ended, but the story is not over. With remembrances from J.K. Rowling's editors, agents, publicists, fans and Rowling herself, Melissa Anelli takes us on a personal journey through every aspect of the Harry Potter phenomenon--from his very first spell to his lasting impact on the way we live the dream.  ...more"
"12","harry potter","Harry Potter Collection","J.K. Rowling",4.73,31030,968,"Six years of magic, adventure, and mystery make this luxurious boxed set the perfect gift for Harry Potter fans of all ages. Follow Harry from his first days at Hogwarts School for Witchcraft and Wizardry, through his many adventures with Hermione and Ron, to his confrontations with rival Draco Malfoy and the dreaded Professor Snape. From the thrilling search for the  Six years of magic, adventure, and mystery make this luxurious boxed set the perfect gift for Harry Potter fans of all ages. Follow Harry from his first days at Hogwarts School for Witchcraft and Wizardry, through his many adventures with Hermione and Ron, to his confrontations with rival Draco Malfoy and the dreaded Professor Snape. From the thrilling search for the Sorcerer's Stone to the Triwizard Tournament to the return of He-Who-Must-Not-Be-Named, each adventure is more riveting and exhilarating than its predecessor, and now all six books are available together for the first time in an elegant hardcover boxed set.  ...more"
"13","harry potter","Selections from Harry Potter and the Order of the Phoenix: Piano Solos","John   Williams, Nicholas Hooper",4.71,30672,19,"Watching the characters from J.K. Rowling's Harry Potter and the Order of the Phoenix(tm) come alive is made only more delightful by the extraordinary soundtrack that enhances Harry, Hermione, Ron's adventures.Alfred presents this selection of music from the soundtrack to the major motion picture arranged for advanced solo piano. Titles are Dumbledore's Army * Fireworks *  Watching the characters from J.K. Rowling's Harry Potter and the Order of the Phoenix(tm) come alive is made only more delightful by the extraordinary soundtrack that enhances Harry, Hermione, Ron's adventures.Alfred presents this selection of music from the soundtrack to the major motion picture arranged for advanced solo piano. Titles are Dumbledore's Army * Fireworks * Flight of the Order of the Phoenix * Loved Ones & Leaving * The Ministry of Magic * Professor Umbridge * The Room of Requirement * (Bonus Selection) Hedwig's Theme.  ...more"
"14","harry potter","The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for Wizards and Non-Wizards Alike","Dinah Bucholz",4.1,14231,393,"Bangers and mash with Harry, Ron, and Hermione in the Hogwarts dining hall. A proper cuppa tea and rock cakes in Hagrid's hut. Cauldron cakes and pumpkin juice on the Hogwarts Express. With this cookbook, dining a la Hogwarts is as easy as Banoffi Pie! With more than 150 easy-to-make recipes, tips, and techniques, you can indulge in spellbindingly delicious meals drawn  Bangers and mash with Harry, Ron, and Hermione in the Hogwarts dining hall. A proper cuppa tea and rock cakes in Hagrid's hut. Cauldron cakes and pumpkin juice on the Hogwarts Express. With this cookbook, dining a la Hogwarts is as easy as Banoffi Pie! With more than 150 easy-to-make recipes, tips, and techniques, you can indulge in spellbindingly delicious meals drawn straight from the pages of your favorite Potter stories, such as:Treacle Tart--Harry's favorite dessert, Molly's Meat Pies--Mrs. Weasley's classic dish, Kreacher's French Onion Soup, Pumpkin Pasties--a staple on the Hogwarts Express cartWith a dash of magic and a drop of creativity, you'll conjure up the entries, desserts, snacks, and drinks you need to transform ordinary Muggle meals into magickal culinary masterpieces, sure make even Mrs. Weasley proud!  ...more"
"15","harry potter","Harry Potter: A History of Magic","British Library, J.K. Rowling, Julian Harrison (Introduction), Julia Eccleshare (Contributor), Roger Highfield (Contributor), Anna Pavord (Contributor), Lucy Mangan (Contributor), Tim Peake (Contributor), Owen  Davies (Contributor), Richard  Coles (Contributor), Steve Backshall (Contributor), Steve Kloves (Contributor)",4.22,13513,775,"Harry Potter: A History of Magic is the official book of the exhibition, a once-in-a-lifetime collaboration between Bloomsbury, J.K. Rowling and the brilliant curators of the British Library. It promises to take readers on a fascinating journey through the subjects studied at Hogwarts School of Witchcraft and Wizardry  from Alchemy and Potions classes through to Herbology  Harry Potter: A History of Magic is the official book of the exhibition, a once-in-a-lifetime collaboration between Bloomsbury, J.K. Rowling and the brilliant curators of the British Library. It promises to take readers on a fascinating journey through the subjects studied at Hogwarts School of Witchcraft and Wizardry <U+2013> from Alchemy and Potions classes through to Herbology and Care of Magical Creatures.Each chapter showcases a treasure trove of artefacts from the British Library and other collections around the world, beside exclusive manuscripts, sketches and illustrations from the Harry Potter archive. There's also a specially commissioned essay for each subject area by an expert, writer or cultural commentator, inspired by the contents of the exhibition <U+2013> absorbing, insightful and unexpected contributions from Steve Backshall, the Reverend Richard Coles, Owen Davies, Julia Eccleshare, Roger Highfield, Steve Kloves, Lucy Mangan, Anna Pavord and Tim Peake, who offer a personal perspective on their magical theme.Readers will be able to pore over ancient spell books, amazing illuminated scrolls that reveal the secret of the Elixir of Life, vials of dragon's blood, mandrake roots, painted centaurs and a genuine witch's broomstick, in a book that shows J.K. Rowling's magical inventions alongside their cultural and historical forebears.This is the ultimate gift for Harry Potter fans, curious minds, big imaginations, bibliophiles and readers around the world who missed out on the chance to see the exhibition in person.  ...more"
"16","harry potter","Harry Potter and the Chamber of Secrets: Sheet Music for Flute with C.D","John   Williams",4.65,74526,94,"Alfred Music Publishing is the world-s largest educational music publisher. Alfred produces educational, reference, pop, and performance materials for teachers, students, professionals, and hobbyists spanning every musical instrument, style, and difficulty level. Alfred-s home office is located in Los Angeles with domestic offices in Miami and New York as well as offices  Alfred Music Publishing is the world-s largest educational music publisher. Alfred produces educational, reference, pop, and performance materials for teachers, students, professionals, and hobbyists spanning every musical instrument, style, and difficulty level. Alfred-s home office is located in Los Angeles with domestic offices in Miami and New York as well as offices around the world, including Australia, Germany, Singapore, and the United Kingdom. In addition to its own titles, Alfred distributes products from over 50 companies, including Belwin, Daisy Rock Girl Guitars, Dover Publications, DW Drums, Faber Music, Highland/Etling, Kalmus, National Guitar Workshop, Penguin, TASCAM, Ultimate Support, and WEA. All editions are compatible and can be played separately or together. The included CD contains a demonstration of each song followed by a play-along track. Titles are: The Chamber of Secrets * Dobby the House Elf * Family Portrait * Fawkes the Phoenix * Gilderoy Lockhart * Harry s Wondrous World * Hedwig s Theme * Moaning Myrtle * Nimbus 2000.Contributors: Music by John WilliamsGenre: MovieInstrument: FluteFormat: Book & CDCategory: Instrumental Series  ...more"
"17","harry potter","Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)","J.K. Rowling, Mary GrandPre (Illustrator)",4.78,54476,182,"Box Set containing Harry Potter and the Sorcerer's Stone, Harry Potter and the Chamber Of Secrets, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Goblet Of Fire, and Harry Potter and the Order of the Phoenix!"
"18","harry potter","Harry Potter: Film Wizardry","Brian Sibley",4.5,58404,573,"Harry Potter: Film Wizardry gives readers a front row seat to the magical journey that brought J.K. Rowling's wizarding world to the big screen. Step off Platform Nine and Three Quarters and into the hidden world behind the scenes of the Harry Potter film series. Brian Sibley is the author of other bestselling behind-the-screen books, like The Lord of the Rings: The Making  Harry Potter: Film Wizardry gives readers a front row seat to the magical journey that brought J.K. Rowling's wizarding world to the big screen. Step off Platform Nine and Three Quarters and into the hidden world behind the scenes of the Harry Potter film series. Brian Sibley is the author of other bestselling behind-the-screen books, like The Lord of the Rings: The Making of the Movie Trilogy and The Land of Narnia. The book includes Producer's Diaries from the Harry Potter films' executive producer David Heyman.  ...more"
"19","harry potter","Harry Potter Page to Screen: The Complete Filmmaking Journey","Bob McCabe",4.57,34304,489,"""Harry Potter: Page to Screen"" opens the doors to Hogwarts castle and the wizarding world of Harry Potter to reveal the complete behind-the-scenes secrets, techniques, and over-the-top artistry that brought J.K. Rowling's acclaimed novels to cinematic life. Developed in collaboration with the creative team behind the celebrated movie series, this deluxe, 500-plus page  ""Harry Potter: Page to Screen"" opens the doors to Hogwarts castle and the wizarding world of Harry Potter to reveal the complete behind-the-scenes secrets, techniques, and over-the-top artistry that brought J.K. Rowling's acclaimed novels to cinematic life. Developed in collaboration with the creative team behind the celebrated movie series, this deluxe, 500-plus page compendium features exclusive stories from the cast and crew, hundreds of never-before-seen photographs and concept illustrations sourced from the closed film sets, and rare memorabilia. As the definitive look at the magic that made cinematic history, ""Page to Screen"" is the ultimate collectible, perfect for Muggles everywhere.  ...more"
"20","harry potter","Harry Potter: The Prequel","J.K. Rowling",4.18,20122,1349,"The Harry Potter Prequel is an 800-word story written by J. K. Rowling, and was published online on June 11th, 2008. Set three years before the birth of Harry Potter, the story recounts an adventure had by Sirius Black and James Potter.J.K. Rowling announced on May 28, 2008 that she was writing a prequel story for English PEN, the writers' association, and the Dyslexia  The Harry Potter Prequel is an 800-word story written by J. K. Rowling, and was published online on June 11th, 2008. Set three years before the birth of Harry Potter, the story recounts an adventure had by Sirius Black and James Potter.J.K. Rowling announced on May 28, 2008 that she was writing a prequel story for English PEN, the writers' association, and the Dyslexia Society. The story, handwritten on a card, would then be auctioned off alongside similar cards from other authors on June 11th, 2008, with the proceeds going to charity. A book of facsimiles was published in August 2008, allowing fans to own and read the story. The story can be found online.  ...more"
"21","harry potter","Mugglenet.Com's What Will Happen in Harry Potter 7: Who Lives, Who Dies, Who Falls in Love and How Will the Adventure Finally End?","Ben Schoen, Andy Gordon, Gretchen Stull (Goodreads Author), Emerson Spartz, Jamie Lawrence",4.25,9420,116,"As anticipation of the final Harry Potter book intensifies, a debate is raging among fans about whats in store for Harry and the rest of the gang at Hogwarts. In this book, the experts at MuggleNet.com present a wide range of hard facts and bold predictions about the most popular storylines, favorite characters, and final outcome of the Harry Potter saga. Drawing on their  As anticipation of the final Harry Potter book intensifies, a debate is raging among fans about what’s in store for Harry and the rest of the gang at Hogwarts. In this book, the experts at MuggleNet.com present a wide range of hard facts and bold predictions about the most popular storylines, favorite characters, and final outcome of the Harry Potter saga. Drawing on their intimate knowledge of the previous six books as well as tips and suggestions made by millions of MuggleNet.com fans (not to mention a personal interview with J.K. Rowling), the authors offer answers to the burning questions of Harry Potter readers everywhere: Will Hogwarts School be open for Harry’s final year, and will Harry even be in attendance? Will Harry’s quest for the remaining Horcruxes be rewarded? Where do Severus Snape’s true loyalties lie? And, most importantly, will Harry survive the final battle with Lord Voldemort?  ...more"
"22","harry potter","The Harry Potter Collection 1-4","J.K. Rowling, Mary GrandPre (Illustrator)",4.68,55755,342,"The exciting tales of Harry Potter, the young wizard-in-training, have taken the world by storm, and fans just can't get enough of the magical world of Hogwarts and beyond. If you buy one of the Harry Potter books, we guarantee you'll want the next...and the next...and the next -- so why not have them all, right at your fingertips? With the Harry Potter Hardcover Box Set  The exciting tales of Harry Potter, the young wizard-in-training, have taken the world by storm, and fans just can't get enough of the magical world of Hogwarts and beyond. If you buy one of the Harry Potter books, we guarantee you'll want the next...and the next...and the next -- so why not have them all, right at your fingertips? With the Harry Potter Hardcover Box Set (Books 1-4), Barnes amp; Noble.com offers simple one-stop shopping for your Harry Potter library! As easy as the wave of a magic wand, you can get all four Harry Potter books delivered to your doorstep at once.pThe Harry Potter Hardcover Box Set (Books 1-4) includes hardcover editions of iHarry Potter and the Sorcerer's Stone, Harry Potter and the Chamber of Secrets, Harry Potter and the Prisoner of Azkaban,/i and iHarry Potter and the Goblet of Fire./i The books come snugly packed in a sturdy cardboard slipcase, beautifully decorated with memorable scenes from the books.pSo buy the set, and not even a pesky Locomotor Mortis spell cast by the evil Lord Voldemor...(oooops, sorry -- He-Who-Must-Not-Be-Named) can get in the way of your enjoying all of the mystery, adventure, intrigue, and, of course, magic that Muggles around the world can't seem to get enough of. Hold on tight -- it's going to be a wild ride!  ...more"
"23","harry potter","Harry Potter and Philosophy: If Aristotle Ran Hogwarts","David Baggett (Editor), Shawn E. Klein (Goodreads Author) (Editor)",4.48,11857,98,"In Harry Potter and Philosophy, seventeen philosophical experts unlock some of Hogwarts' secret panels, and uncover surprising insights that are enlightening both for wizards and the most discerning muggles."
"24","harry potter","The Sorcerer's Companion: A Guide to the Magical World of Harry Potter","Allan Zola Kronzek, Elizabeth Kronzek",4.04,8215,139,"The New York Times bestseller, now fully updated to include Harry Potter and the Order of the PhoenixWho was the real Nicholas Flamel? How did the Sorcerers Stone get its power? Did J. K. Rowling dream up the terrifying basilisk, the seductive veela, or the vicious grindylow? And if she didnt, who did?Millions of readers around the world have been enchanted by the magical  The New York Times bestseller, now fully updated to include Harry Potter and the Order of the PhoenixWho was the real Nicholas Flamel? How did the Sorcerer’s Stone get its power? Did J. K. Rowling dream up the terrifying basilisk, the seductive veela, or the vicious grindylow? And if she didn’t, who did?Millions of readers around the world have been enchanted by the magical world of wizardry, spells, and mythical beasts inhabited by Harry Potter and his friends. But what most readers don’t know is that there is a centuries-old trove of true history, folklore, and mythology behind Harry’s fantastic universe. Now, with The Sorcerer’s Companion, those without access to the Hogwarts Library can school themselves in the fascinating reality behind J. K. Rowling’s world of magic. Newly updated to include Harry Potter and the Order of the Phoenix, The Sorcerer’s Companion allows curious readers to look up anything magical from the Harry Potter books and discover a wealth of entertaining, unexpected information. Wands and wizards, boggarts and broomsticks, hippogriffs and herbology, all have astonishing histories rooted in legend, literature, or real-life events dating back hundreds or even thousands of years. Magic wands, like those sold in Rowling’s Diagon Alley, were once fashioned by Druid sorcerers out of their sacred yew trees. Love potions were first concocted in ancient Greece and Egypt. And books of spells and curses were highly popular during the Middle Ages. From Amulets to Zombies, you’ll also learn:<U+2022>how to read tea leaves <U+2022>where to find a basilisk today <U+2022>how King Frederick II of Denmark financed a war with a unicorn horn <U+2022>who the real Merlin was <U+2022>how to safely harvest mandrake root <U+2022>who wore the first invisibility cloak<U+2022>how to get rid of a goblin <U+2022>why owls were feared in the ancient world<U+2022>what really lies beyond the Veil<U+2022>the origins of our modern-day “bogeyman,” and more. A spellbinding tour of Harry’s captivating world, The Sorcerer’s Companion is a must for every Potter aficionado’s bookshelf.The Sorcerer's Companion has not been prepared, approved, or licensed by any person or entity that created, published, or produced the Harry Potter books or related properties.  ...more"
"25","harry potter","Harry Potter: A Pop-Up Book: Based on the Film Phenomenon","Andrew Williamson (Illustrations), Andrew Williamson (Illustrator)",4.62,40120,57,"This collectible Harry Potter pop-up book, based on the creative development of the films, features exquisite original artwork by Andrew Williamson, concept artist for all eight movies. With dynamic pop-ups animating memorable moments and locations  like the Triwizard Tournament, Diagon Alley, and Hogwarts Castle  Harry Potter: A Pop-Up Book offers a 3-D glimpse into the  This collectible Harry Potter pop-up book, based on the creative development of the films, features exquisite original artwork by Andrew Williamson, concept artist for all eight movies. With dynamic pop-ups animating memorable moments and locations <U+2014> like the Triwizard Tournament, Diagon Alley, and Hogwarts Castle <U+2014> Harry Potter: A Pop-Up Book offers a 3-D glimpse into the amazing world, as seen in the films. This deluxe book will delight Harry Potter fans with dynamic pop-up ingenuity, insights from the creative team who turned JK Rowling’s stories into movie magic, fascinating facts about the magical universe seen in the movies, and Harry Potter memories and memorabilia packed into every page.  ...more"
"26","harry potter","Harry Potter And The Half Blood Prince: (Piano Solo)","Nicholas Hooper",4.74,11713,7," "
"27","harry potter","The Ultimate Harry Potter and Philosophy: Hogwarts for Muggles","Gregory Bassham (Editor)",4.41,7602,159,"A philosophical exploration of the entire seven-book Harry Potter seriesHarry Potter has been heralded as one of the most popular book series of all time and the philosophical nature of Harry, Hermione, and Ron's quest to rid the world of its ultimate evil is one of the many things that make this series special. The Ultimate Harry Potter and Philosophy covers all seven  A philosophical exploration of the entire seven-book Harry Potter seriesHarry Potter has been heralded as one of the most popular book series of all time and the philosophical nature of Harry, Hermione, and Ron's quest to rid the world of its ultimate evil is one of the many things that make this series special. The Ultimate Harry Potter and Philosophy covers all seven titles in J.K. Rowling's groundbreaking series and takes fans back to Godric's Hollow to discuss life after death, to consider what moral reasoning drove Harry to choose death, and to debate whether Sirius Black is a man or a dog.With publication timed to coincide with the release of the movie Harry Potter and the Deathly Hallows (Part 1), this book will be the definitive guide for all fans looking to appreciate the series on a deeper level. Covers a range of intriguing topics such as the redemption of Severus Snape, the power of love, and destiny in the wizarding world Gives you a new perspective on Harry Potter characters, plot lines, and themes Makes a perfect companion to the Harry Potter books and movies Packed with interesting ideas and insights, The Ultimate Harry Potter and Philosophy is an ideal companion for anyone interested in unraveling the subtext and exploring the greater issues at work in the story.  ...more"
"28","harry potter","Harry Potter: A Journey Through Charms and Defence Against the Dark Arts","Pottermore Publishing, J.K. Rowling",3.88,2640,145,"The history of magic is as long as time and as wide as the world. In every culture, in every age, in every place and, probably, in every heart, there is magic. This non-fiction short-form eBook features content which is adapted from the audiobook Harry Potter: A History of Magic  inspired by the British Library exhibition of the same name.How to become invisible, to make    The history of magic is as long as time and as wide as the world. In every culture, in every age, in every place and, probably, in every heart, there is magic.This non-fiction short-form eBook features content which is adapted from the audiobook Harry Potter: A History of Magic <U+2013> inspired by the British Library exhibition of the same name.How to become invisible, to make someone fall in love with you, to transform into another creature: these are all things that people have believed in, yearned for, or feared, throughout history. Spells and charms have captured the imagination for hundreds of years. Warding off evil is also something that has concerned people throughout history. From werewolves to all manner of snakes in the wizarding world, you’d learn how to face a number of strange and frightening forces in Defence Against the Dark Arts classes. This eBook short examines the colourful characters and curious incidents of the real history of magic, and how they relate to the Hogwarts lesson subjects of Charms and Defence Against the Dark Arts from the Harry Potter stories.  ...more"
"29","harry potter","The Magical Worlds of Harry Potter: A Treasury of Myths, Legends, and Fascinating Facts","David Colbert (Goodreads Author)",3.99,18443,319,"J.K. Rowling fills her books with references to history, myths, legends and literature. This text presents the stories behind the stories. It includes encounters with wizards like Circe and Merlin, and real-life alchemists of the middle ages. Adding to the experience are writers as varied as William Shakespeare, Gustave Flaubert, Charles Dickens, Ovid, John Donne, J.R.R.  J.K. Rowling fills her books with references to history, myths, legends and literature. This text presents the stories behind the stories. It includes encounters with wizards like Circe and Merlin, and real-life alchemists of the middle ages. Adding to the experience are writers as varied as William Shakespeare, Gustave Flaubert, Charles Dickens, Ovid, John Donne, J.R.R. Tolkien and Ursula K. Le Guin.  ...more"
